geoid,total_pop,median_income,state,county,tract,name,b01003_001_moe,b19013_001_moe
06037117301,3632,129266,06,037,117301,"Los Angeles County, California",316.0,14727.0
06037117302,4957,119311,06,037,117302,"Los Angeles County, California",582.0,20908.0
06037117303,4428,122096,06,037,117303,"Los Angeles County, California",1039.0,18070.0
06037117404,5548,127821,06,037,117404,"Los Angeles County, California",1084.0,14458.0
06037117405,3176,41480,06,037,117405,"Los Angeles County, California",569.0,10010.0
06037117407,3566,48341,06,037,117407,"Los Angeles County, California",448.0,6085.0
06037117408,2404,50714,06,037,117408,"Los Angeles County, California",291.0,7085.0
06037117510,3807,61875,06,037,117510,"Los Angeles County, California",607.0,13825.0
06037117520,4571,53558,06,037,117520,"Los Angeles County, California",585.0,7982.0
06037117530,5963,54654,06,037,117530,"Los Angeles County, California",666.0,20235.0
06037119001,4462,105536,06,037,119001,"Los Angeles County, California",596.0,13225.0
06037119003,3895,106625,06,037,119003,"Los Angeles County, California",725.0,16566.0
06037119004,2768,74375,06,037,119004,"Los Angeles County, California",1094.0,39250.0
06037119201,4412,101667,06,037,119201,"Los Angeles County, California",880.0,10527.0
06037119202,4766,72807,06,037,119202,"Los Angeles County, California",721.0,13494.0
06037119310,3931,75588,06,037,119310,"Los Angeles County, California",484.0,26476.0
06037119320,4475,86308,06,037,119320,"Los Angeles County, California",558.0,29004.0
06037119340,3905,47021,06,037,119340,"Los Angeles County, California",449.0,7981.0
06037119341,2750,51159,06,037,119341,"Los Angeles County, California",368.0,5511.0
06037119342,2850,76078,06,037,119342,"Los Angeles County, California",372.0,8886.0
06037119400,5061,93053,06,037,119400,"Los Angeles County, California",899.0,16298.0
06037119700,4269,92011,06,037,119700,"Los Angeles County, California",753.0,23695.0
06037119801,2556,94750,06,037,119801,"Los Angeles County, California",296.0,34043.0
06037119802,3238,91964,06,037,119802,"Los Angeles County, California",834.0,26184.0
06037119900,4521,87986,06,037,119900,"Los Angeles County, California",608.0,28066.0
06037120010,2700,60972,06,037,120010,"Los Angeles County, California",394.0,17182.0
06037120020,4359,43253,06,037,120020,"Los Angeles County, California",569.0,8528.0
06037120030,2614,42188,06,037,120030,"Los Angeles County, California",327.0,6396.0
06037120103,3030,35357,06,037,120103,"Los Angeles County, California",363.0,15417.0
06037120104,2375,46958,06,037,120104,"Los Angeles County, California",386.0,6643.0
06037120105,2691,45237,06,037,120105,"Los Angeles County, California",334.0,6552.0
06037120106,4443,38866,06,037,120106,"Los Angeles County, California",539.0,5450.0
06037120107,4044,40129,06,037,120107,"Los Angeles County, California",734.0,9653.0
06037120108,4511,55063,06,037,120108,"Los Angeles County, California",577.0,18397.0
06037120300,5299,66615,06,037,120300,"Los Angeles County, California",803.0,16319.0
06037120400,6170,68491,06,037,120400,"Los Angeles County, California",762.0,16113.0
06037121010,5277,82685,06,037,121010,"Los Angeles County, California",534.0,22270.0
06037121020,3661,70382,06,037,121020,"Los Angeles County, California",621.0,16066.0
06037121101,3191,66442,06,037,121101,"Los Angeles County, California",510.0,16385.0
06037121102,2271,72632,06,037,121102,"Los Angeles County, California",254.0,21182.0
06037121210,2922,71932,06,037,121210,"Los Angeles County, California",554.0,8192.0
06037121221,2237,78897,06,037,121221,"Los Angeles County, California",355.0,13980.0
06037121222,4872,71845,06,037,121222,"Los Angeles County, California",770.0,30254.0
06037121600,2635,100139,06,037,121600,"Los Angeles County, California",366.0,26727.0
06037121801,3916,45842,06,037,121801,"Los Angeles County, California",625.0,7433.0
06037121802,3026,83450,06,037,121802,"Los Angeles County, California",431.0,10941.0
06037121900,3314,67250,06,037,121900,"Los Angeles County, California",601.0,24756.0
