geoid,geoid20,year,denom_occupied_housing,no_vehicle_count,no_vehicle_pct
1400000US06037124903,6037124903,2023,1669,127,7.6093469
1400000US06037125101,6037125101,2023,2252,66,2.9307282
1400000US06037125102,6037125102,2023,928,0,0
1400000US06037125200,6037125200,2023,1980,131,6.6161618
1400000US06037125310,6037125310,2023,2100,33,1.5714285
1400000US06037125321,6037125321,2023,1449,111,7.6604557
1400000US06037125322,6037125322,2023,1543,440,28.515879
1400000US06037125402,6037125402,2023,2028,67,3.3037474
1400000US06037125403,6037125403,2023,1526,117,7.6671038
1400000US06037125404,6037125404,2023,1758,186,10.580205
1400000US06037125501,6037125501,2023,1648,193,11.711165
1400000US06037125502,6037125502,2023,1953,189,9.6774197
1400000US06037125600,6037125600,2023,1294,12,.92735702
1400000US06037127102,6037127102,2023,1596,107,6.7042608
1400000US06037127103,6037127103,2023,1328,49,3.689759
1400000US06037127104,6037127104,2023,1403,98,6.9850321
1400000US06037127210,6037127210,2023,1898,261,13.751317
1400000US06037127220,6037127220,2023,1694,370,21.841795
1400000US06037127300,6037127300,2023,1430,90,6.2937064
1400000US06037127400,6037127400,2023,1940,342,17.628866
1400000US06037127520,6037127520,2023,1467,243,16.564417
1400000US06037127603,6037127603,2023,897,55,6.1315498
1400000US06037127604,6037127604,2023,1524,145,9.5144358
1400000US06037127605,6037127605,2023,1190,180,15.12605
1400000US06037127606,6037127606,2023,1108,91,8.2129965
1400000US06037127711,6037127711,2023,1185,0,0
1400000US06037127712,6037127712,2023,1566,123,7.8544064
1400000US06037127803,6037127803,2023,1640,253,15.426829
1400000US06037127804,6037127804,2023,1652,196,11.864407
1400000US06037127805,6037127805,2023,1144,199,17.395105
1400000US06037127806,6037127806,2023,1292,101,7.8173375
1400000US06037127910,6037127910,2023,1574,201,12.770013
1400000US06037127920,6037127920,2023,1511,114,7.5446725
1400000US06037128101,6037128101,2023,1113,85,7.6370173
1400000US06037128102,6037128102,2023,1570,103,6.5605097
1400000US06037128210,6037128210,2023,1588,220,13.853905
1400000US06037128220,6037128220,2023,1240,129,10.403226
1400000US06037128302,6037128302,2023,1450,126,8.6896553
1400000US06037128303,6037128303,2023,1144,161,14.073426
1400000US06037128400,6037128400,2023,1870,26,1.3903743
1400000US06037128500,6037128500,2023,2232,216,9.6774197
1400000US06037128601,6037128601,2023,1771,78,4.4042912
1400000US06037128602,6037128602,2023,1219,27,2.2149303
1400000US06037128703,6037128703,2023,1649,56,3.3959975
1400000US06037128704,6037128704,2023,969,84,8.6687307
1400000US06037128801,6037128801,2023,2012,32,1.5904572
1400000US06037128802,6037128802,2023,2112,239,11.316288
1400000US06037128910,6037128910,2023,1827,33,1.8062397
1400000US06037131021,6037131021,2023,985,226,22.944162
1400000US06037131022,6037131022,2023,1002,93,9.2814369
1400000US06037131023,6037131023,2023,829,13,1.5681545
1400000US06037131024,6037131024,2023,1114,54,4.8473969
1400000US06037131100,6037131100,2023,1076,48,4.4609666
1400000US06037131200,6037131200,2023,1196,25,2.090301
1400000US06037131300,6037131300,2023,1169,58,4.9615054
1400000US06037131400,6037131400,2023,1714,107,6.2427073
1400000US06037131600,6037131600,2023,1306,85,6.5084229
1400000US06037131701,6037131701,2023,1867,116,6.2131763
1400000US06037131702,6037131702,2023,1210,45,3.7190082
1400000US06037131801,6037131801,2023,938,163,17.377399
1400000US06037131802,6037131802,2023,806,48,5.9553351
1400000US06037131900,6037131900,2023,1375,0,0
1400000US06037132001,6037132001,2023,1192,88,7.3825502
1400000US06037132002,6037132002,2023,1156,0,0
1400000US06037132101,6037132101,2023,1597,45,2.8177834
1400000US06037132102,6037132102,2023,2142,265,12.371615
1400000US06037132301,6037132301,2023,1358,242,17.820324
1400000US06037132302,6037132302,2023,948,36,3.7974684
1400000US06037132501,6037132501,2023,1308,31,2.3700306
1400000US06037132502,6037132502,2023,1319,83,6.2926459
1400000US06037132700,6037132700,2023,1696,174,10.259434
1400000US06037132900,6037132900,2023,1305,67,5.1340995
1400000US06037133000,6037133000,2023,1386,37,2.6695526
1400000US06037133101,6037133101,2023,634,25,3.9432178
1400000US06037133102,6037133102,2023,1310,236,18.015266
1400000US06037134001,6037134001,2023,907,42,4.6306505
1400000US06037134002,6037134002,2023,1217,81,6.6557107
1400000US06037134101,6037134101,2023,1378,28,2.0319304
1400000US06037134103,6037134103,2023,1314,161,12.252664
1400000US06037134104,6037134104,2023,1325,55,4.1509433
1400000US06037134201,6037134201,2023,1302,0,0
1400000US06037134302,6037134302,2023,1403,155,11.047755
1400000US06037134303,6037134303,2023,1939,30,1.5471892
1400000US06037134304,6037134304,2023,919,30,3.2644179
1400000US06037134305,6037134305,2023,1197,131,10.944027
1400000US06037134306,6037134306,2023,1422,66,4.6413503
1400000US06037134421,6037134421,2023,1582,61,3.8558786
1400000US06037134422,6037134422,2023,1632,80,4.9019608
1400000US06037134423,6037134423,2023,1341,200,14.914243
1400000US06037134424,6037134424,2023,1049,14,1.3346044
1400000US06037134520,6037134520,2023,1994,282,14.142427
1400000US06037134521,6037134521,2023,763,118,15.465269
1400000US06037134522,6037134522,2023,1434,117,8.1589956
1400000US06037134710,6037134710,2023,1578,123,7.7946768
1400000US06037134720,6037134720,2023,1780,136,7.6404495
1400000US06037134801,6037134801,2023,1132,22,1.9434628
1400000US06037134802,6037134802,2023,872,52,5.9633026
1400000US06037134901,6037134901,2023,1009,5,.49554014
1400000US06037134904,6037134904,2023,1442,104,7.2122054
1400000US06037134905,6037134905,2023,3012,74,2.4568393
1400000US06037134906,6037134906,2023,1146,41,3.5776615
1400000US06037134907,6037134907,2023,1910,106,5.5497384
1400000US06037135102,6037135102,2023,1284,52,4.0498443
1400000US06037135111,6037135111,2023,1242,53,4.2673106
1400000US06037135113,6037135113,2023,1333,81,6.076519
1400000US06037135115,6037135115,2023,1679,94,5.5985703
1400000US06037135116,6037135116,2023,1039,195,18.768045
1400000US06037135201,6037135201,2023,870,29,3.3333333
1400000US06037135202,6037135202,2023,1525,38,2.4918032
1400000US06037135204,6037135204,2023,1679,0,0
1400000US06037135205,6037135205,2023,770,0,0
1400000US06037137000,6037137000,2023,1734,13,.74971163
1400000US06037137103,6037137103,2023,2468,78,3.1604538
1400000US06037137104,6037137104,2023,983,71,7.2227874
1400000US06037137202,6037137202,2023,1392,251,18.031609
1400000US06037137203,6037137203,2023,804,50,6.2189054
1400000US06037137301,6037137301,2023,768,0,0
1400000US06037137302,6037137302,2023,1556,8,.51413882
1400000US06037137401,6037137401,2023,1690,37,2.1893492
1400000US06037137402,6037137402,2023,2069,115,5.5582409
1400000US06037137501,6037137501,2023,1981,117,5.9061079
1400000US06037137502,6037137502,2023,1751,90,5.1399202
1400000US06037137504,6037137504,2023,666,23,3.4534535
1400000US06037138000,6037138000,2023,1867,30,1.6068559
1400000US06037139001,6037139001,2023,2275,27,1.1868132
1400000US06037139200,6037139200,2023,2310,22,.95238096
1400000US06037139301,6037139301,2023,1476,55,3.7262874
1400000US06037139302,6037139302,2023,2031,236,11.619892
1400000US06037139303,6037139303,2023,2250,389,17.288889
1400000US06037139401,6037139401,2023,1118,139,12.432916
1400000US06037139402,6037139402,2023,955,5,.52356023
1400000US06037139502,6037139502,2023,1177,80,6.7969413
1400000US06037139504,6037139504,2023,1827,220,12.041598
1400000US06037139505,6037139505,2023,1544,370,23.96373
1400000US06037139506,6037139506,2023,1503,129,8.5828342
1400000US06037139600,6037139600,2023,2320,166,7.1551723
1400000US06037139701,6037139701,2023,2171,157,7.2316904
1400000US06037139703,6037139703,2023,925,9,.97297299
1400000US06037139704,6037139704,2023,1028,49,4.7665372
