geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037143102,6037143102,2023,1216,107647,107647
1400000US06037143200,6037143200,2023,2296,86250,86250
1400000US06037143301,6037143301,2023,1657,95234,95234
1400000US06037143302,6037143302,2023,1711,115875,115875
1400000US06037143401,6037143401,2023,2410,114750,114750
1400000US06037143402,6037143402,2023,832,127083,127083
1400000US06037143500,6037143500,2023,2638,156825,156825
1400000US06037143602,6037143602,2023,2466,105542,105542
1400000US06037143603,6037143603,2023,1454,92663,92663
1400000US06037143605,6037143605,2023,1114,112716,112716
1400000US06037143606,6037143606,2023,1062,99750,99750
1400000US06037143700,6037143700,2023,2087,176534,176534
1400000US06037143801,6037143801,2023,1504,169097,169097
1400000US06037143802,6037143802,2023,1165,156439,156439
1400000US06037143901,6037143901,2023,1796,206509,206509
1400000US06037143902,6037143902,2023,1535,155045,155045
1400000US06037181000,6037181000,2023,2418,142943,142943
1400000US06037181300,6037181300,2023,1387,145125,145125
1400000US06037181400,6037181400,2023,1749,105968,105968
1400000US06037181500,6037181500,2023,1421,125602,125602
1400000US06037181600,6037181600,2023,1150,109688,109688
1400000US06037183101,6037183101,2023,1314,91853,91853
1400000US06037183103,6037183103,2023,1694,98633,98633
1400000US06037183104,6037183104,2023,823,101563,101563
1400000US06037183220,6037183220,2023,1182,126000,126000
1400000US06037183221,6037183221,2023,1156,112574,112574
1400000US06037183222,6037183222,2023,1562,97361,97361
1400000US06037183300,6037183300,2023,1170,91638,91638
1400000US06037183401,6037183401,2023,859,105701,105701
1400000US06037183402,6037183402,2023,1149,105000,105000
1400000US06037183510,6037183510,2023,807,109250,109250
1400000US06037183520,6037183520,2023,1233,67048,67048
1400000US06037183610,6037183610,2023,1034,79955,79955
1400000US06037183620,6037183620,2023,1079,108256,108256
1400000US06037183701,6037183701,2023,1400,77865,77865
1400000US06037183702,6037183702,2023,1140,103026,103026
1400000US06037183810,6037183810,2023,1636,89137,89137
1400000US06037183820,6037183820,2023,1321,79543,79543
1400000US06037185101,6037185101,2023,1037,82521,82521
1400000US06037185102,6037185102,2023,1520,135506,135506
1400000US06037185202,6037185202,2023,1610,117667,117667
1400000US06037185203,6037185203,2023,916,84485,84485
