OBJECTID,COUNTYFP20,TRACTCE20,GEOID20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Pop23,HH23,LandSqMile,PopDensity,Flag_MHI_P,Source,Comments,Date_Record_Last_Edited,Record_Last_Edited_By,Date_Data_Refers_To,MHI23,ShapeSTArea,ShapeSTLength
8365,93,701,6093000701,715116528,1172689,41.6608649,-122.6745712,3860,1653,276.1081,14,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,76107,1284889734,302195.9189
8366,93,1200,6093001200,3191000178,7990908,41.4116025,-121.8260568,1145,565,1232.0522,1,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,46307,5692611376,368206.1952
8367,93,800,6093000800,3204025612,11039889,41.3415895,-123.033992,3358,1384,1237.0813,3,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,69943,5710237860,445190.8899
8368,93,703,6093000703,5033756,14100,41.7431803,-122.6399825,3683,1486,1.9435,1895,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,57792,9074180.739,23676.8362
8369,93,200,6093000200,1300052752,72751427,41.8583273,-121.9329396,1768,668,501.9532,4,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,36824,2476720418,256243.0456
8370,93,1100,6093001100,233770789,738201,41.2132164,-122.3927798,2022,973,90.2594,22,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,43262,414937280.9,116475.767
8371,93,300,6093000300,1422920785,14083548,41.7831006,-122.3292299,4352,1701,549.3928,8,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,55332,2585509065,301298.9988
8372,93,702,6093000702,35824978,119539,41.7322521,-122.6201724,3789,1712,13.8321,274,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,26316,64584019.45,57931.9016
8373,85,502400,6085502400,2679680,0,37.3046948,-121.8926106,7189,2756,1.0346,6949,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,222988,4242914.026,10207.34677
8374,85,510200,6085510200,2686270,0,37.3720591,-122.1017322,4598,1520,1.0372,4433,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,250001,4260924.05,12736.15109
8375,85,512309,6085512309,9136346,0,37.1300123,-121.6087697,4954,1649,3.5276,1404,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,194280,14399923.29,20514.67107
